County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
        Estimate,36.40%,73.50%,18.90%,26.00%,13.70%,6.10%,14.00%,45.10%,42.90%,48.80%,63.40%,22.30%,25.80%,40.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.80%,0.00%,0.00%,0.70%,8.20%,4.90%,0.00%,0.00%,3.00%,21.60%,22.30%,65.60%,27.60%,23.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.50%,10.20%,12.80%,7.60%,62.30%,59.10%,10.80%,44.20%,52.70%,13.00%,11.90%,5.60%,15.10%,32.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.60%,16.40%,63.90%,8.40%,0.00%,7.80%,5.30%,10.80%,1.40%,9.00%,0.00%,0.60%,19.90%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.70%,0.00%,4.40%,57.40%,15.80%,22.10%,69.90%,0.00%,0.00%,7.50%,2.50%,6.00%,11.60%,3.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Manitowoc County, Wisconsin","40,748","2,150","2,368","12,091",716,"4,504","1,918",322,"2,079","1,946","7,638","2,490","1,601",925,,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.90%,24.60%,17.30%,21.30%,27.10%,12.20%,21.10%,59.00%,42.20%,42.50%,57.00%,22.20%,11.80%,15.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,2.60%,0.00%,2.10%,0.00%,9.70%,13.00%,0.00%,4.70%,20.40%,29.40%,69.00%,60.60%,44.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.50%,1.40%,4.10%,12.80%,29.50%,60.60%,11.20%,27.30%,48.10%,31.90%,11.90%,5.40%,11.20%,18.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.60%,66.10%,75.80%,3.90%,6.60%,5.10%,6.70%,13.70%,4.30%,2.10%,0.00%,2.70%,13.60%,20.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.20%,5.30%,2.90%,60.00%,36.90%,12.40%,48.00%,0.00%,0.70%,3.10%,1.70%,0.80%,2.70%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Marathon County, Wisconsin","72,196","2,669","3,607","13,950","3,206","8,318","3,919",831,"6,358","3,649","17,744","4,540","2,294","1,111",,7.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.10%,35.00%,13.80%,23.50%,11.90%,13.60%,10.50%,57.80%,48.10%,53.20%,62.00%,19.80%,11.40%,31.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.70%,0.00%,0.00%,1.00%,10.50%,4.40%,2.20%,1.40%,1.80%,17.60%,25.00%,63.90%,42.80%,53.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.70%,1.80%,2.00%,6.60%,42.30%,44.00%,18.80%,38.60%,46.60%,20.10%,9.30%,10.30%,20.20%,7.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,55.90%,75.60%,6.30%,4.50%,8.60%,11.90%,2.20%,0.20%,2.10%,1.30%,0.30%,18.00%,1.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.60%,7.30%,8.60%,62.60%,30.70%,29.50%,56.70%,0.00%,3.40%,7.00%,2.40%,5.70%,7.70%,5.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Milwaukee County, Wisconsin","456,646","1,389","21,531","72,139","9,739","44,505","25,089","6,752","28,840","50,574","121,018","43,708","18,814","12,548",,11.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.20%,26.00%,18.30%,26.20%,18.70%,13.40%,17.10%,47.00%,56.20%,51.70%,61.00%,22.30%,30.30%,33.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,5.30%,0.20%,1.60%,2.10%,5.30%,2.60%,5.00%,3.20%,20.80%,25.10%,60.90%,38.60%,38.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.80%,19.80%,5.80%,11.60%,46.00%,58.10%,24.30%,35.10%,35.10%,13.60%,11.80%,12.30%,11.20%,24.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.00%,48.90%,70.80%,4.60%,2.50%,3.40%,3.90%,12.10%,2.50%,1.80%,0.70%,0.40%,8.40%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,0.00%,4.90%,56.10%,30.80%,19.70%,52.10%,0.80%,2.90%,12.10%,1.40%,4.00%,11.60%,1.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Outagamie County, Wisconsin","100,130","1,383","8,356","21,093","3,033","12,350","3,728","1,341","7,794","7,960","19,807","5,807","4,701","2,777",,8.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.30%,76.90%,22.50%,29.00%,21.10%,16.90%,21.20%,69.10%,37.20%,49.80%,64.10%,16.60%,24.40%,43.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.50%,6.30%,1.80%,0.70%,0.00%,5.00%,5.40%,0.00%,6.10%,17.70%,23.60%,69.30%,43.50%,26.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.80%,1.10%,11.40%,13.70%,46.40%,47.70%,21.10%,25.10%,52.10%,23.20%,9.10%,9.10%,12.40%,25.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.60%,14.20%,59.80%,9.60%,4.80%,5.70%,7.40%,0.70%,2.30%,2.80%,0.80%,1.90%,10.60%,1.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,1.40%,4.50%,47.10%,27.60%,24.80%,44.90%,5.10%,2.30%,6.50%,2.50%,3.00%,9.10%,3.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Ozaukee County, Wisconsin","48,228",247,"2,422","9,451","1,729","4,171",805,"1,005","4,995","4,892","10,811","3,854","2,235","1,611",,9.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,47.10%,10.90%,28.40%,41.30%,28.10%,12.80%,32.80%,22.30%,54.20%,71.40%,76.60%,19.90%,36.20%,33.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.50%,8.90%,0.00%,0.40%,2.10%,2.70%,0.00%,43.70%,2.90%,11.80%,12.80%,67.60%,34.10%,55.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.70%,0.00%,4.40%,18.50%,46.80%,66.50%,10.80%,30.80%,39.90%,9.50%,9.10%,8.30%,9.40%,11.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.00%,80.20%,65.30%,3.00%,2.70%,7.10%,7.00%,3.20%,1.10%,2.30%,0.60%,0.00%,7.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.60%,0.00%,1.90%,36.80%,20.20%,10.90%,49.40%,0.00%,1.90%,5.00%,1.00%,4.20%,12.40%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Portage County, Wisconsin","37,304","1,253","1,272","6,536",758,"3,559","1,494",526,"3,627","3,414","8,419","3,963","1,483","1,000",,7.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.80%,45.30%,10.20%,19.70%,29.40%,16.40%,12.50%,77.20%,48.20%,71.40%,60.20%,27.60%,44.40%,43.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,0.60%,1.20%,0.20%,2.10%,0.50%,0.00%,0.00%,1.60%,13.60%,23.60%,58.40%,44.10%,38.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.10%,2.20%,3.10%,2.80%,30.70%,60.90%,19.90%,22.80%,47.00%,10.00%,9.10%,7.60%,4.50%,12.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.80%,42.70%,76.70%,10.60%,7.40%,4.40%,13.80%,0.00%,1.50%,2.70%,3.50%,2.10%,7.00%,4.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,9.30%,8.70%,66.70%,30.30%,17.80%,53.70%,0.00%,1.70%,2.30%,3.60%,4.30%,0.00%,0.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Racine County, Wisconsin","93,186",518,"7,331","18,428","3,492","8,866","4,893",740,"4,181","7,663","20,155","10,714","3,698","2,507",,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.20%,51.50%,13.10%,29.50%,20.00%,12.10%,12.80%,47.80%,48.80%,44.00%,61.70%,19.30%,18.10%,37.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.70%,0.00%,0.00%,2.00%,2.40%,0.10%,3.90%,8.60%,2.60%,20.60%,24.60%,60.30%,36.90%,50.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.50%,0.00%,6.20%,12.70%,51.60%,59.20%,14.30%,43.50%,44.90%,19.30%,11.70%,8.70%,13.20%,6.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,26.60%,78.10%,6.10%,4.80%,3.10%,11.40%,0.00%,0.90%,2.40%,0.20%,0.00%,27.30%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.60%,21.80%,2.70%,49.80%,21.20%,25.50%,57.60%,0.00%,2.90%,13.70%,1.90%,11.70%,4.50%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Rock County, Wisconsin","81,370","1,171","4,947","16,984","2,493","9,513","3,297","1,611","3,282","5,808","18,251","8,430","2,796","2,787",,11.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.90%,63.70%,11.60%,20.90%,32.00%,19.70%,13.50%,45.30%,38.60%,37.40%,64.20%,12.20%,32.60%,34.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,0.00%,0.30%,0.50%,0.00%,6.50%,0.00%,0.00%,0.90%,20.00%,17.80%,67.30%,21.40%,42.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,6.10%,2.30%,8.30%,34.60%,41.80%,20.70%,43.10%,54.60%,23.80%,14.50%,15.90%,1.70%,21.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,27.70%,82.30%,6.40%,1.30%,5.10%,25.50%,3.10%,5.90%,5.10%,0.70%,0.00%,22.50%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.40%,2.50%,3.40%,63.90%,32.10%,26.90%,40.20%,8.50%,0.00%,13.70%,2.90%,4.60%,21.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Croix County, Wisconsin","50,610",526,"3,900","10,581","1,825","5,296","2,854",426,"3,540","3,926","10,155","3,222","2,545","1,814",,7.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.20%,51.10%,41.40%,38.20%,27.20%,9.70%,14.60%,51.90%,49.60%,43.70%,77.60%,17.40%,20.10%,48.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.00%,5.50%,0.00%,1.00%,0.90%,3.10%,0.80%,0.00%,0.70%,26.00%,14.00%,75.60%,43.10%,41.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.60%,4.60%,1.50%,12.70%,44.70%,62.20%,27.40%,28.60%,46.00%,20.50%,5.70%,6.10%,6.60%,6.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.00%,29.70%,49.90%,6.20%,9.80%,7.50%,8.40%,19.50%,3.40%,4.30%,0.20%,0.00%,22.50%,1.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,9.10%,7.20%,41.90%,17.40%,17.50%,48.80%,0.00%,0.30%,5.50%,2.50%,0.80%,7.80%,3.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Sheboygan County, Wisconsin","60,390","1,046","3,617","20,580","1,039","6,063","1,716",393,"3,236","2,501","11,661","4,008","3,568",962,,9.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.20%,43.60%,13.20%,29.20%,39.50%,7.40%,14.50%,33.10%,45.80%,51.70%,58.40%,20.90%,31.70%,35.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,22.00%,0.00%,3.20%,0.00%,0.40%,0.00%,19.80%,0.00%,36.50%,21.10%,68.60%,38.60%,47.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.80%,0.00%,7.10%,8.60%,38.80%,59.10%,21.90%,36.10%,54.20%,6.30%,16.90%,6.80%,15.00%,12.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.10%,32.60%,75.80%,9.10%,7.90%,7.20%,5.40%,10.90%,0.00%,1.60%,1.00%,0.00%,8.90%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.10%,1.80%,4.00%,49.90%,13.90%,25.90%,58.30%,0.00%,0.00%,3.90%,2.70%,3.60%,5.80%,5.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Walworth County, Wisconsin","54,660",527,"4,349","11,726","1,122","6,416","2,136",582,"2,088","3,155","11,553","6,644","2,613","1,749",,11.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.00%,75.00%,12.50%,25.50%,17.70%,6.00%,9.40%,46.00%,58.80%,60.80%,63.00%,26.40%,33.20%,31.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,4.70%,0.00%,1.60%,0.00%,4.00%,0.00%,0.00%,3.20%,20.30%,20.70%,59.20%,40.50%,35.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.90%,0.00%,17.80%,14.50%,54.20%,67.90%,19.10%,54.00%,35.80%,5.90%,15.20%,7.10%,6.50%,28.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,17.60%,68.70%,6.90%,1.60%,0.60%,2.10%,0.00%,2.20%,2.90%,0.30%,0.90%,16.60%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.80%,2.70%,1.00%,51.50%,26.50%,21.50%,69.40%,0.00%,0.00%,10.10%,0.80%,6.50%,3.20%,4.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Washington County, Wisconsin","74,750",397,"4,776","17,152","2,739","9,966","2,876",947,"3,311","5,531","18,262","3,625","3,623","1,545",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.10%,47.60%,32.80%,33.90%,22.60%,16.20%,14.20%,50.60%,49.60%,66.40%,72.30%,10.70%,20.70%,23.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.70%,19.90%,0.00%,1.10%,0.00%,5.00%,5.10%,1.60%,8.50%,14.40%,17.80%,77.50%,38.60%,50.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.60%,0.00%,6.90%,12.40%,45.70%,61.00%,20.50%,40.70%,29.40%,18.50%,9.40%,11.70%,24.00%,25.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.60%,32.50%,55.90%,4.90%,8.90%,1.90%,4.30%,7.20%,7.90%,0.40%,0.40%,0.00%,9.20%,0.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.00%,0.00%,4.40%,47.70%,22.70%,15.90%,55.90%,0.00%,4.60%,0.20%,0.20%,0.00%,7.50%,0.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Waukesha County, Wisconsin","218,537",577,"11,035","36,467","6,994","23,468","7,860","3,371","19,614","23,949","52,640","16,739","11,444","4,379",,10.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,49.60%,23.60%,26.60%,41.10%,32.90%,21.60%,24.90%,69.10%,57.20%,67.30%,77.50%,26.00%,38.20%,42.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,11.90%,13.20%,0.50%,2.10%,0.90%,2.80%,2.20%,0.00%,1.30%,11.10%,11.20%,61.20%,28.10%,45.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.10%,12.80%,10.30%,15.00%,56.30%,46.80%,23.50%,12.00%,39.80%,16.90%,9.20%,9.30%,13.60%,8.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.10%,42.60%,54.60%,5.80%,2.80%,3.60%,6.40%,13.40%,0.90%,1.80%,1.10%,0.60%,12.40%,4.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.20%,7.80%,8.00%,36.00%,7.10%,25.20%,43.00%,5.40%,0.80%,2.90%,0.90%,2.90%,7.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Winnebago County, Wisconsin","89,405",881,"5,127","20,074","2,787","10,889","3,810","1,291","6,289","6,206","18,412","7,548","3,631","2,460",,11.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.90%,35.30%,19.20%,29.20%,21.30%,14.90%,6.90%,62.70%,39.10%,45.70%,58.50%,12.80%,33.00%,29.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,23.70%,1.40%,1.40%,0.00%,3.60%,5.50%,0.00%,6.10%,20.20%,29.40%,72.20%,27.20%,49.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.50%,0.00%,4.30%,15.00%,48.90%,62.70%,13.60%,23.20%,52.60%,24.30%,11.20%,12.80%,12.00%,18.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.40%,14.00%,73.70%,5.70%,13.00%,6.80%,3.90%,10.40%,1.30%,1.70%,0.40%,0.10%,22.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,27.00%,1.30%,48.70%,16.70%,12.00%,70.10%,3.60%,0.90%,8.00%,0.50%,2.00%,5.00%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wood County, Wisconsin","34,608","1,209","2,191","6,439",634,"3,905","1,970",509,"1,823","1,457","9,672","2,410","1,402",987,,5.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.40%,55.50%,8.00%,14.50%,4.30%,9.30%,10.20%,75.80%,39.90%,53.70%,59.50%,17.10%,29.70%,37.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.90%,0.00%,0.00%,2.50%,0.00%,5.40%,2.10%,0.00%,6.10%,23.40%,28.10%,72.50%,37.80%,34.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.50%,3.50%,11.40%,5.60%,55.80%,54.60%,9.00%,24.20%,53.50%,10.90%,10.90%,7.50%,4.40%,17.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.70%,15.80%,78.70%,6.80%,6.20%,7.60%,6.10%,0.00%,0.40%,4.20%,0.20%,2.20%,22.80%,9.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.40%,25.20%,1.80%,70.50%,33.80%,23.10%,72.50%,0.00%,0.00%,7.80%,1.30%,0.70%,5.30%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Laramie County, Wyoming","48,790","1,259","3,106","1,682","1,312","6,465","3,568",473,"3,477","4,425","11,403","4,289","1,989","5,342",,13.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.40%,52.10%,13.80%,15.80%,5.30%,7.40%,19.00%,18.20%,49.90%,56.00%,62.70%,22.00%,16.10%,73.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.30%,0.00%,3.30%,0.00%,0.00%,1.70%,2.20%,19.00%,3.50%,16.00%,25.60%,75.90%,51.20%,10.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.60%,10.30%,15.30%,27.90%,41.20%,56.90%,22.10%,53.50%,38.20%,14.50%,8.00%,0.60%,8.80%,11.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.10%,28.40%,64.60%,36.70%,17.10%,1.50%,6.60%,9.30%,8.40%,7.00%,1.90%,0.00%,19.60%,2.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.60%,9.20%,3.00%,19.70%,36.50%,32.40%,50.10%,0.00%,0.00%,6.50%,1.90%,1.50%,4.30%,2.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Natrona County, Wyoming","41,245","3,755","4,121","1,575",675,"4,160","1,976",484,"1,162","3,673","9,757","4,908","2,748","2,251",,4.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.30%,31.00%,26.50%,33.90%,15.60%,16.80%,25.70%,57.60%,45.40%,50.60%,56.50%,14.40%,5.40%,44.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.90%,1.00%,0.00%,0.00%,0.00%,6.20%,0.00%,0.00%,0.00%,16.20%,27.80%,71.80%,45.60%,28.50%,,(X)
